time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1676794792.00725055,0.00000000,0.00000098,0.00000355,1485.00000000,0.01434899,0.000000,0.000000
1676794792.10773349,0.00000000,0.00000098,0.00000336,1485.00000000,0.04257541,0.000000,0.000000
1676794792.20890975,0.00000000,0.00000098,0.00000275,1485.00000000,0.00786635,0.000000,0.000000
1676794792.30715108,0.00000000,0.00000098,0.00000274,1485.00000000,0.01650080,0.000000,0.000000
1676794792.40677977,0.00000000,0.00000098,0.00000279,1485.00000000,0.01837354,0.000000,0.000000
1676794792.50702858,0.00000000,0.00000140,0.00000302,1485.00000000,0.01443088,0.000000,0.000000
1676794792.60752964,0.00000000,0.00000098,0.00000278,1485.00000000,0.01226335,0.000000,0.000000
1676794792.70793319,0.00000000,0.00000140,0.00000284,1485.00000000,0.02116908,0.000000,0.000000
1676794792.80714440,0.00000000,0.00000098,0.00000291,1485.00000000,0.01408869,0.000000,0.000000
1676794792.90702224,0.00000000,0.00000049,0.00000307,1485.00000000,0.01761930,0.000000,0.000000
1676794793.00715375,0.00000000,0.00000098,0.00000264,1485.00000000,0.01960468,0.000000,0.000000
1676794793.10727859,0.00000000,0.00000098,0.00000261,1485.00000000,0.02287883,0.000000,0.000000
1676794793.20728040,0.00000000,0.00000140,0.00000262,1485.00000000,0.01412239,0.000000,0.000000
1676794793.30709743,0.00000000,0.00000098,0.00000262,1485.00000000,0.01005241,0.000000,0.000000
1676794793.40750265,0.00000000,0.00000049,0.00000266,1485.00000000,0.01988937,0.000000,0.000000
1676794793.50727153,0.00000000,0.00000098,0.00000297,1485.00000000,0.02252130,0.000000,0.000000
1676794793.60737443,0.00000000,0.00000091,0.00000279,1485.00000000,0.01024566,0.000000,0.000000
1676794793.70866585,0.00000000,0.00000098,0.00000300,1485.00000000,0.01765108,0.000000,0.000000
1676794793.80832481,0.00000000,0.00000091,0.00000268,1485.00000000,0.04696413,0.000000,0.000000
1676794793.90920377,0.00000000,0.00000098,0.00000286,1485.00000000,0.01724765,0.000000,0.000000
1676794794.00689006,0.00000000,0.00000098,0.00000273,1485.00000000,0.00873244,0.000000,0.000000
1676794794.10713959,0.00000000,0.00000140,0.00000243,1485.00000000,0.03956367,0.000000,0.000000
1676794794.20829368,0.00000000,0.00000140,0.00000276,1485.00000000,0.02399375,0.000000,0.000000
1676794794.30870271,0.00000000,0.00000098,0.00000263,1485.00000000,0.02047069,0.000000,0.000000
1676794794.40806580,0.00000000,0.00000098,0.00000276,1485.00000000,0.01060006,0.000000,0.000000
